1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
6455-67804-0040	SHE HAD NOT BROUGHT LUCIA UP UNDER HER OWN EYE FOR NOTHING
6467-56885-0000	HIS BODY WAS LONG AND SLENDER HARD AND AGILE HIS SIGHT KEEN HIS AIM UNERRING
6467-56885-0001	IN THE MONTH OF AGRAHAYAN KANTI HAD GONE OUT SHOOTING NEAR THE SWAMP OF NYDIGHI WITH A FEW SPORTING COMPANIONS
6467-56885-0002	ONE MORNING AS KANTI WAS SEATED IN HIS BOAT CLEANING A FAVOURITE GUN HE SUDDENLY STARTED AT WHAT HE THOUGHT WAS THE CRY OF WILD DUCK LOOKING UP HE SAW A VILLAGE MAIDEN COMING TO THE WATER'S EDGE WITH TWO WHITE DUCKLINGS CLASPED TO HER BREAST
6467-56885-0003	THE GIRL PUT THE BIRDS INTO THE WATER AND WATCHED THEM ANXIOUSLY
6467-56885-0004	LOOKING ROUND KANTI SAW ONE OF HIS MEN POINTING AN UNLOADED GUN AT THE DUCKS
6467-56885-0005	KANTI WENT ON CLEANING HIS GUN
6467-56885-0006	AFTER KANTI HAD EATEN AND DRUNK THE BRAHMIN BEGGED HIM TO INTRODUCE HIMSELF KANTI GAVE HIS OWN NAME HIS FATHER'S NAME AND THE ADDRESS OF HIS HOME AND THEN SAID IN THE USUAL WAY IF I CAN BE OF ANY SERVICE SIR I SHALL DEEM MYSELF FORTUNATE
6467-56885-0007	SO SAYING KANTI REPEATED HIS SALUTE AND WENT BACK
6467-56885-0008	THE BRICK BUILT MANSION OF THE MAZUMDARS HAD BEEN BORROWED FOR THE WEDDING CEREMONY WHICH WAS FIXED FOR NEXT MAGH AS KANTI DID NOT WISH TO DELAY
6467-56885-0009	IN DUE TIME THE BRIDEGROOM ARRIVED ON HIS ELEPHANT WITH DRUMS AND MUSIC AND WITH A TORCHLIGHT PROCESSION AND THE CEREMONY BEGAN
6467-56885-0010	IN THAT BASHFUL DOWNCAST FACE CROWNED WITH THE WEDDING CORONET AND BEDECKED WITH SANDAL PASTE HE COULD SCARCELY RECOGNISE THE VILLAGE MAIDEN OF HIS FANCY AND IN THE FULNESS OF HIS EMOTION A MIST SEEMED TO BECLOUD HIS EYES
6467-56885-0011	THE LIGHT OF THE LAMPS SEEMED TO GROW DIM AND DARKNESS TO TARNISH THE FACE OF THE BRIDE HERSELF
6467-56885-0012	AT FIRST HE FELT ANGRY WITH HIS FATHER IN LAW THE OLD SCOUNDREL HAD SHOWN HIM ONE GIRL AND MARRIED HIM TO ANOTHER
6467-56885-0013	CLOSE UPON IT FOLLOWED THE GIRL HE HAD SEEN BEFORE
6467-56885-0014	OH THE MAD GIRL CRIED THE WOMEN AS THEY MADE SIGNS TO HER TO LEAVE THE ROOM
6467-56885-0015	ALL THE WOMEN IN THE ROOM BEGAN TO TITTER
6467-56885-0016	THE INCREASING LAUGHTER IN THE ROOM BETOKENED AN AMUSING JOKE
6467-56885-0017	WITH A SIGH OF INTENSE RELIEF AS OF ESCAPE FROM CALAMITY HE LOOKED ONCE MORE INTO THE FACE OF HIS BRIDE
6467-62797-0000	OUT OF CURIOSITY HE HUNG ONE OF THEM OUTSIDE HIS HOUSE
6467-62797-0001	IN CASES OF SCORPION STING DOMMARA MEDICINE MEN RUB UP PATENT BOLUSES WITH HUMAN MILK OR JUICE OF THE MILK HEDGE PLANT EUPHORBIA TIRUCALLI AND APPLY THEM TO THE PARTS
6467-62797-0002	WHEN THE UMBILICAL CORD OF A KONDH BABY SLOUGHS OFF A SPIDER IS BURNT IN THE FIRE AND ITS ASHES ARE PLACED IN A COCOANUT SHELL MIXED WITH CASTOR OIL AND APPLIED BY MEANS OF A FOWL'S FEATHER TO THE NAVEL
6467-62797-0003	THEY THEN CALL THE DEAD MAN BY HIS NAME AND EAGERLY WAIT TILL SOME INSECT SETTLES ON THE CLOTH
6467-62797-0004	BLOOD WAS DESCRIBED AS OOZING OUT OF HIS EYES
6467-62797-0005	MAKE THE PATIENT SUCK THE MILK OF THE BREAST OF A WOMAN WHOSE BABY IS MORE THAN EIGHTY DAYS OLD
6467-62797-0006	HIS CAMP BOY TOLD HIM OF A CASE IN WHICH DEATH WAS SAID TO HAVE RESULTED FROM EATING ONE OF THESE ANIMALS COOKED WITH SOME JAK FRUIT
6467-62797-0007	A FEW YEARS AGO A SCARE AROSE IN CONNECTION WITH AN INSECT WHICH WAS SAID TO HAVE TAKEN UP ITS ABODE IN IMPORTED GERMAN GLASS BANGLES WHICH COMPETE WITH THE INDIGENOUS INDUSTRY OF THE GAZULA BANGLE MAKERS THE INSECT WAS REPORTED TO LIE LOW IN THE BANGLE TILL IT WAS PURCHASED WHEN IT WOULD COME OUT AND NIP THE WEARER AFTER WARNING HER TO GET HER AFFAIRS IN ORDER BEFORE SUCCUMBING
6467-94831-0000	PELEG SNUGGERS THE GENERAL UTILITY MAN OF THE HALL HAD JUST BROUGHT THE BOYS UP FROM CEDARVILLE TO WHICH PLACE THEY HAD JOURNEYED FROM ITHACA ON THE REGULAR AFTERNOON BOAT RUNNING UP CAYUGA LAKE
6467-94831-0001	WITH THE ROVERS HAD COME FRED GARRISON LARRY COLBY AND SEVERAL OTHERS OF THEIR OLD SCHOOL CHUMS
6467-94831-0002	OH HOW DO YOU DO MISTER STRONG
6467-94831-0003	AND HE RAN TO MEET THE HEAD TEACHER
6467-94831-0004	WELL THOMAS I HOPE YOU HAVE LEFT ALL YOUR PRANKS BEHIND OBSERVED GEORGE STRONG
6467-94831-0005	HULLO ALECK
6467-94831-0006	I'VE GAINED FIFTEEN POUNDS AND
6467-94831-0007	YO LEMME GO SAH YO IS STICKIN PINS IN MY HAND HOWLED POP
6467-94831-0008	HE MOANED AS TOM RAN OFF THROWING AWAY SEVERAL TINY TACKS AS HE DID SO
6467-94831-0009	SO YOU'VE COME BACK HAVE YOU
6467-94831-0010	OBSERVED MISSUS GREEN AS TOM STOPPED AT THE KITCHEN DOOR
6467-94831-0011	ASKED TOM AND THEN HIS FACE FELL
6467-94831-0012	OH DEAR YOU ALWAYS DID PUT ME DOWN AS THE WORST BOY IN THE SCHOOL WHEN I I DO MY VERY BEST AND ALMOST SOBBING TOM PUT HIS FACE UP AGAINST HIS COAT SLEEVE
6467-94831-0013	MISSUS GREEN WAS VERY TENDER HEARTED IN SPITE OF HER SOMEWHAT FREE TONGUE AND SHE WAS ALL SYMPATHY IMMEDIATELY
6467-94831-0014	THERE THERE TOM I DIDN'T MEAN TO HURT YOUR FEELINGS SHE SAID SOOTHINGLY
6467-94831-0015	I I DON'T KNOW SOBBED TOM
6467-94831-0016	COME SIT DOWN AND HAVE THE PIE THAT'S A GOOD BOY
6467-94831-0017	IT'S REALLY LIKE HOME HE MURMURED PRESENTLY
6467-94831-0018	MISSUS GREEN WHEN YOU DIE THEY OUGHT TO ERECT AN AWFULLY BIG MONUMENT OVER YOUR GRAVE
6467-94831-0019	WHAT WAS HER TROUBLE TOM CONSUMPTION
6467-94831-0020	AND YET WITH IT ALL SHE COULDN'T HELP BUT LIKE THE BOY
6467-94831-0021	AN TO THINK THE TERM'S JUST BEGUN
6467-94831-0022	AND HE MOPPED HIS BROW WITH HIS RED BANDANNA HANDKERCHIEF
6467-94831-0023	WOT KIND OF A JOKE IS THAT MASTER ROVER
6467-94831-0024	OH IT'S NO JOKE YOU ARE HANDSOME
6467-94831-0025	HAVE YOU GOT A CAMERA TO BE SURE HERE IT IS
6467-94831-0026	SAM DREW A TINY BOX FROM HIS POCKET
6467-94831-0027	NOW STAND STILL AND I'LL TAKE A SNAP SHOT
6467-94831-0028	NOW STAND STRAIGHT AND LOOK HAPPY
6467-94831-0029	CRIED SAM AS A CROWD COLLECTED AROUND
6467-94831-0030	RAISE YOU RIGHT HAND TO YOUR BREAST JUST AS ALL STATESMEN DO
6467-94831-0031	NOW WAIT A MINUTE AND THE PICTURE WILL BE FINISHED
6467-94831-0032	NO THIS IS A NEW PATENTED PROCESS
6467-94831-0033	SAM DREW A SQUARE OF TIN FROM THE BOX
6467-94831-0034	I DON'T SEE ANY PICTURE GROWLED SNUGGERS LOOKING AT THE SQUARE BLANKLY
6467-94831-0035	IT'S A LITTLE FRESH YET
6467-94831-0036	THE BOYS GATHERED AROUND SET UP A SHOUT
6467-94831-0037	SAM ROVER I'LL GIT SQUARE SEE IF I DON'T
6467-94831-0038	DEMANDED SAM INNOCENTLY ISN'T IT A GOOD PICTURE
6467-94831-0039	SHOW ME OFF FOR A DONKEY
6467-94831-0040	A DONKEY OH PELEG I DID NOTHING OF THE KIND
6467-94831-0041	IT'S A DONKEY'S HEAD I SAY
6467-94831-0042	AND I SAY IT'S YOUR PICTURE
6467-94831-0043	I GUESS I KNOW A DONKEY'S HEAD WHEN I SEE IT MASTER ROVER
6467-94831-0044	PELEG THERE IS SOME MISTAKE HERE
6467-94831-0045	OH YOU CAN'T JOKE ME NO MORE
6467-97061-0000	ONE NIGHT WHEN BOTH WERE SLEEPING THE PRINCE HAD A REMARKABLE DREAM
6467-97061-0001	THEY RUSHED INTO THE ROOM ADDED THEIR CRIES TO HERS AND FORGETTING ALL THEIR FORMER PRECAUTIONS LEFT THE DOORS OPEN SO THAT THE GUARDS OUTSIDE HEARING THE CLAMOUR ENTERED AND SAW THE PRINCE
6467-97061-0002	SHE IS A DISGRACE TO HER FAMILY AND SHALL SOON SEE HER HUSBAND IMPALED ON A STAKE
6467-97061-0003	THEN WITH HIS FOREHEAD DISFIGURED BY A FEARFUL FROWN HE CONTINUED TO ABUSE THE PRINCE AND HAVING TIED HIS HANDS BEHIND HIM DRAGGED HIM FROM THE ROOM
6467-97061-0004	TREATED THUS LIKE SOME WILD BEAST ROUGHLY SHAKEN AND NEGLECTED RAJAVAHANA WOULD HAVE SUFFERED GREATLY HAD HE NOT BEEN PROTECTED BY THE MAGIC JEWEL GIVEN TO HIM IN PATALA AND WHICH HE HAD CONTRIVED TO CONCEAL IN HIS HAIR
6467-97061-0005	ADVANCING THEREFORE WITH A LARGE ARMY HE PREPARED TO BESIEGE CHAMPA THE CAPITAL CITY
6467-97061-0006	A TERRIBLE BATTLE ENSUED IN WHICH BOTH KINGS PERFORMED PRODIGIES OF VALOUR
6467-97061-0007	SHOULD THERE BE ANY PITY FOR THE VIOLATOR OF THE HAREM
6467-97061-0008	IF THE OLD KING MY FATHER NOW IN HIS DOTAGE WAS FOOLISH ENOUGH TO FAVOUR THE CRIMINAL FOR THE SAKE OF HIS WORTHLESS DAUGHTER YOU HAD NO NEED OF HIS PERMISSION AND OUGHT NOT TO HAVE BEEN INFLUENCED BY HIM
6467-97061-0009	LET THAT VILE SEDUCER BE IMMEDIATELY PUT TO DEATH BY TORTURE AND HIS PARAMOUR BE SHUT UP IN PRISON TILL I COME
6467-97061-0010	HAVE READY ALSO A FIERCE ELEPHANT SUITABLY EQUIPPED WHICH I SHALL MOUNT IMMEDIATELY AFTER THE WEDDING TO OVERTAKE MY ARMY IN MARCH AGAINST THE ENEMY AND AS I SET OUT I WILL MAKE THE ELEPHANT TRAMPLE THE LIFE OUT OF THAT CRIMINAL
6467-97061-0011	WHILE HE STOOD THERE CALMLY AWAITING DEATH WHICH NOW SEEMED INEVITABLE HE SUDDENLY FELT HIS FEET FREE AND A BEAUTIFUL LADY APPEARED BEFORE HIM
6467-97061-0012	SHE HUMBLY BOWING DOWN SAID LET MY LORD PARDON HIS SERVANT FOR THE INJURY WHICH SHE HAS UNCONSCIOUSLY CAUSED
6467-97061-0013	I AM AN APSARAS BORN FROM THE RAYS OF THE MOON
6467-97061-0014	ONE DAY AS I WAS FLYING THROUGH THE AIR WEARING A WHITE DRESS A SWAN MISTAKING ME FOR A LOTUS FLOWER ATTACKED ME
6467-97061-0015	IN HIS ANGER HE CURSED ME SAYING O WICKED ONE FOR THIS OFFENCE YOU ARE CONDEMNED TO BE CHANGED INTO A PIECE OF UNCONSCIOUS METAL
6467-97061-0016	THE CHANGE TOOK PLACE IMMEDIATELY AND I FELL TO THE GROUND TURNED INTO A SILVER CHAIN
6467-97061-0017	ON HIS WAY HE SAW THE SILVER FETTER DESCENDED TO THE GROUND PICKED IT UP AND CONTINUED HIS FLIGHT
6467-97061-0018	THE SLAYER OF CHANDAVARMA HEARING THIS CAME OUT OF THE PALACE AND QUICKLY MOUNTING THE ELEPHANT WHO HELD DOWN HIS TRUNK TO RECEIVE HIM PLACED HIMSELF BEHIND THE PRINCE
6467-97061-0019	GREAT WAS THEIR MUTUAL ASTONISHMENT AND JOY WHEN THEY RECOGNISED EACH OTHER THE PRINCE EXCLAIMING IS IT POSSIBLE
6467-97061-0020	IS IT REALLY YOU MY DEAR FRIEND APAHARAVARMA WHO HAVE DONE THIS DEED
6467-97061-0021	THROUGH THESE THEY FORCED THEIR WAY EMPLOYING WITH GOOD EFFECT THE WEAPONS PLACED ON THE ELEPHANT FOR THE USE OF CHANDAVARMA
6467-97061-0022	BEFORE HOWEVER THEY HAD GONE FAR THEY HEARD THE NOISE OF BATTLE AT A DISTANCE AND SAW THE SOLDIERS IN FRONT OF THEM SCATTERED IN ALL DIRECTIONS
6467-97061-0023	WE HAVE JUST NOW ENCOUNTERED AND UTTERLY DEFEATED THE ENEMY SO THAT THERE IS NO FEAR OF ANY FURTHER RESISTANCE
6467-97061-0024	RAJAVAHANA AGREED TO THIS
6841-88291-0000	BUT SINCE THERE EXISTED FOR US NO RESPONSIBILITY WE EACH REPORTED DUTIFULLY AT THE ROLL CALL OF HABIT AND DROPPED BACK INTO OUR BLANKETS WITH A GRATEFUL SIGH
6841-88291-0001	I REMEMBER THE MOON SAILING A GOOD GAIT AMONG APPARENTLY STATIONARY CLOUDLETS I RECALL A DEEP BLACK SHADOW LYING BEFORE DISTANT SILVERY MOUNTAINS I GLANCED OVER THE STARK MOTIONLESS CANVASES EACH OF WHICH CONCEALED A MAN THE AIR TREMBLED WITH THE BELLOWING OF CATTLE IN THE CORRALS
6841-88291-0002	SEEMINGLY BUT A MOMENT LATER THE COOK'S HOWL BROUGHT ME TO CONSCIOUSNESS AGAIN
6841-88291-0003	THREE WERE TO CARE FOR THE REMUDA FIVE WERE TO MOVE THE STRAY HERD FROM THE CORRALS TO GOOD FEED THREE BRANDING CREWS WERE TOLD TO BRAND THE CALVES WE HAD COLLECTED IN THE CUT OF THE AFTERNOON BEFORE THAT TOOK UP ABOUT HALF THE MEN
6841-88291-0004	THE REST WERE TO MAKE A SHORT DRIVE IN THE SALT GRASS
6841-88291-0005	WE WERE THE ONLY ONES WHO DID GO AFOOT HOWEVER ALTHOUGH THE CORRALS WERE NOT MORE THAN TWO HUNDRED YARDS DISTANT
6841-88291-0006	BETWEEN THE UPRIGHT BARS OF GREASEWOOD WE COULD SEE THE CATTLE AND NEAR THE OPPOSITE SIDE THE MEN BUILDING A FIRE NEXT THE FENCE
6841-88291-0007	WE PUSHED OPEN THE WIDE GATE AND ENTERED
6841-88291-0008	ONE STOOD WAITING FOR THEM TO FINISH A SHEAF OF LONG J H STAMPING IRONS IN HIS HAND
6841-88291-0009	ALL THE REST SQUATTED ON THEIR HEELS ALONG THE FENCE SMOKING CIGARETTES AND CHATTING TOGETHER
6841-88291-0010	THE FIRST RAYS OF THE SUN SLANTED ACROSS IN ONE GREAT SWEEP FROM THE REMOTE MOUNTAINS
6841-88291-0011	HOMER WOODEN AND OLD CALIFORNIA JOHN RODE IN AMONG THE CATTLE
6841-88291-0012	AS THE LOOP SETTLED HE JERKED SHARPLY UPWARD EXACTLY AS ONE WOULD STRIKE TO HOOK A BIG FISH
6841-88291-0013	HOMER WRAPPED THE ROPE TWICE OR THRICE ABOUT THE HORN AND SAT OVER IN ONE STIRRUP TO AVOID THE TIGHTENED LINE AND TO PRESERVE THE BALANCE
6841-88291-0014	NOBODY PAID ANY ATTENTION TO THE CALF
6841-88291-0015	BEHIND HIM FOLLOWED HIS ANXIOUS MOTHER HER HEAD SWINGING FROM SIDE TO SIDE NEAR THE FIRE THE HORSE STOPPED
6841-88291-0016	THE TWO BULL DOGGERS IMMEDIATELY POUNCED UPON THE VICTIM
6841-88291-0017	IT WAS PROMPTLY FLOPPED OVER ON ITS RIGHT SIDE
6841-88291-0018	THUS THE CALF WAS UNABLE TO STRUGGLE
6841-88291-0019	WHEN ONCE YOU HAVE HAD THE WIND KNOCKED OUT OF YOU OR A RIB OR TWO BROKEN YOU CEASE TO THINK THIS UNNECESSARILY ROUGH
6841-88291-0020	HOT IRON YELLED ONE OF THE BULL DOGGERS
6841-88291-0021	MARKER YELLED THE OTHER
6841-88291-0022	THE BRANDER PRESSED THE IRON SMOOTHLY AGAINST THE FLANK
6841-88291-0023	PERHAPS THE CALF BLATTED A LITTLE AS THE HEAT SCORCHED
6841-88291-0024	THE BRAND SHOWED CHERRY WHICH IS THE PROPER COLOUR TO INDICATE DUE PEELING AND A SUCCESSFUL MARK
6841-88291-0025	THEN HE NICKED OUT A SWALLOW TAIL IN THE OTHER
6841-88291-0026	IT SEEMS TO ME THAT A GREAT DEAL OF UNNECESSARY TWADDLE IS ABROAD AS TO THE EXTREME CRUELTY OF BRANDING
6841-88291-0027	UNDOUBTEDLY IT IS TO SOME EXTENT PAINFUL AND COULD SOME OTHER METHOD OF READY IDENTIFICATION BE DEVISED IT MIGHT BE AS WELL TO ADOPT IT IN PREFERENCE
6841-88291-0028	INEXTINGUISHABLE LAUGHTER FOLLOWED THE SPREAD OF THIS DOCTRINE THROUGH ARIZONA
6841-88291-0029	IMAGINE A PUNCHER DESCENDING TO EXAMINE POLITELY THE EAR TAGS OF WILD CATTLE ON THE OPEN RANGE OR IN A ROUND UP
6841-88291-0030	A CALF USUALLY BELLOWS WHEN THE IRON BITES BUT AS SOON AS RELEASED HE ALMOST INVARIABLY GOES TO FEEDING OR TO LOOKING IDLY ABOUT
6841-88291-0031	BESIDES WHICH IT HAPPENS BUT ONCE IN A LIFETIME AND IS OVER IN TEN SECONDS A COMFORT DENIED TO THOSE OF US WHO HAVE OUR TEETH FILLED
6841-88291-0032	ONE OF THE LITTLE ANIMALS WAS BUT A FEW MONTHS OLD SO THE RIDER DID NOT BOTHER WITH ITS HIND LEGS BUT TOSSED HIS LOOP OVER ITS NECK
6841-88291-0033	MISTER FROST'S BULL CALF ALONE IN PICTORIAL HISTORY SHOWS THE ATTITUDES
6841-88291-0034	AND THEN OF COURSE THERE WAS THE GORGEOUS CONTRAST BETWEEN ALL THIS FRANTIC AND UNCOMPREHENDING EXCITEMENT AND THE ABSOLUTE MATTER OF FACT IMPERTURBABILITY OF HORSE AND RIDER
6841-88291-0035	AS HE KNEW HIS BUSINESS AND AS THE CALF WAS A SMALL ONE THE LITTLE BEAST WENT OVER PROMPTLY BIT THE GROUND WITH A WHACK AND WAS POUNCED UPON AND HELD
6841-88291-0036	HE WOULD CATCH HIMSELF ON ONE FOOT SCRAMBLE VIGOROUSLY AND END BY STRUGGLING BACK TO THE UPRIGHT
6841-88291-0037	YOU CAN IMAGINE WHAT HAPPENED NEXT
6841-88291-0038	THIS IS PRODUCTIVE OF SOME FUN IF IT FAILS
6841-88291-0039	BY NOW THE BRANDING WAS IN FULL SWING
6841-88291-0040	WHEN THE NOOSES FELL THEY TURNED AND WALKED TOWARD THE FIRE AS A MATTER OF COURSE RARELY DID THE CAST FAIL
6841-88291-0041	MEN RAN TO AND FRO BUSY AND INTENT
6841-88291-0042	SOMETIMES THREE OR FOUR CALVES WERE ON THE GROUND AT ONCE
6841-88291-0043	DUST EDDIED AND DISSIPATED
6841-88291-0044	NO MORE NECKED CALVES THEY ANNOUNCED
6841-88291-0045	THEN HE WOULD SPIT ON HIS HANDS AND GO AT IT ALONE
6841-88291-0046	IF LUCK ATTENDED HIS FIRST EFFORT HIS SARCASM WAS PROFOUND THERE'S YORE LITTLE CALF SAID HE
6841-88291-0047	WOULD YOU LIKE TO HAVE ME TOTE IT TO YOU OR DO YOU RECKON YOU COULD TODDLE THIS FAR WITH YORE LITTLE OLD IRON
6841-88291-0048	TOWARD NOON THE WORK SLACKED
6841-88291-0049	FINALLY HOMER RODE OVER TO THE CATTLEMAN AND REPORTED THE BRANDING FINISHED
6841-88291-0050	THE LATTER COUNTED THE MARKS IN HIS TALLY BOOK
6841-88291-0051	ONE HUNDRED AND SEVENTY SIX HE ANNOUNCED
6841-88291-0052	THE MARKERS SQUATTED ON THEIR HEELS TOLD OVER THE BITS OF EARS THEY HAD SAVED
6841-88291-0053	THE TOTAL AMOUNTED TO BUT AN HUNDRED AND SEVENTY FIVE
6841-88291-0054	FINALLY WOODEN DISCOVERED IT IN HIS HIP POCKET
6841-88291-0055	THEY HAD BEEN DOING A WRESTLER'S HEAVY WORK ALL THE MORNING BUT DID NOT SEEM TO BE TIRED
6841-88291-0056	I SAW ONCE IN SOME CRANK PHYSICAL CULTURE PERIODICAL THAT A COWBOY'S LIFE WAS PHYSICALLY ILL BALANCED LIKE AN OARSMAN'S IN THAT IT EXERCISED ONLY CERTAIN MUSCLES OF THE BODY
6841-88294-0000	AT THIS MOMENT THE HEAVY BEAT OF THE STORM ON THE ROOF CEASED WITH MIRACULOUS SUDDENNESS LEAVING THE OUTSIDE WORLD EMPTY OF SOUND SAVE FOR THE DRIP DRIP DRIP OF EAVES
6841-88294-0001	WE HAD EVERY SORT OF PEOPLE WITH US OFF AND ON AND AS I WAS LOOKOUT AT A POPULAR GAME I SAW THEM ALL
6841-88294-0002	AT THE SAME INSTANT I HEARD THE RIP OF STEEL THROUGH CLOTH AND FELT A SHARP STAB IN MY LEFT LEG
6841-88294-0003	THEN I SCOUTED TO SEE WHAT HAD CUT ME AND FOUND THAT THE FELLOW HAD LOST A HAND
6841-88294-0004	IN PLACE OF IT HE WORE A SHARP STEEL HOOK
6841-88294-0005	THERE WAS NO DOUBT OF HIS BEING ALIVE FOR HE WAS BREATHING HARD LIKE A MAN DOES WHEN HE GETS HIT OVER THE HEAD IT DIDN'T SOUND GOOD
6841-88294-0006	WHEN A MAN BREATHES THAT WAY HE'S MOSTLY ALL GONE
6841-88294-0007	MEN GOT BATTED OVER THE HEAD OFTEN ENOUGH IN THOSE DAYS
6841-88294-0008	SOUR WINE IS FINE TO PUT A WOUND IN SHAPE TO HEAL BUT IT'S NO SOOTHING SYRUP
6841-88294-0009	THEIR COFFIN WAS THEIR SHIP AND THEIR GRAVE IT WAS THE SEA BLOW HIGH BLOW LOW WHAT CARE WE AND THE QUARTER THAT WE GAVE THEM WAS TO SINK THEM IN THE SEA DOWN ON THE COAST OF THE HIGH BARBAREE
6841-88294-0010	IT FAIR MADE MY HAIR RISE TO HEAR HIM WITH THE BIG STILL SOLEMN DESERT OUTSIDE AND THE QUIET MOONLIGHT AND THE SHADOWS AND HIM SITTING UP STRAIGHT AND GAUNT HIS EYES BLAZING EACH SIDE HIS BIG EAGLE NOSE AND HIS SNAKY HAIR HANGING OVER THE RAW CUT ACROSS HIS HEAD
6841-88294-0011	HOWEVER I MADE OUT TO GET HIM BANDAGED UP AND IN SHAPE AND PRETTY SOON HE SORT OF WENT TO SLEEP
6841-88294-0012	THEN AGAIN HE'D SING THAT BARBAREE SONG UNTIL I'D GO OUT AND LOOK AT THE OLD COLORADO FLOWING BY JUST TO BE SURE I HADN'T DIED AND GONE BELOW OR ELSE HE'D JUST TALK
6841-88294-0013	HE BEGAN WHEN HE WAS A KID AND HE GAVE HIS SIDE OF CONVERSATIONS PAUSING FOR REPLIES
6841-88294-0014	I USED TO LISTEN BY THE HOUR BUT I NEVER MADE OUT ANYTHING REALLY IMPORTANT AS TO WHO THE MAN WAS OR WHERE HE'D COME FROM OR WHAT HE'D DONE
6841-88294-0015	I DIDN'T PAY ANY ATTENTION TO HIM FOR HE WAS QUIET
6841-88294-0016	USUALLY I DIDN'T BOTHER WITH HIS TALK FOR IT DIDN'T MEAN ANYTHING BUT SOMETHING IN HIS VOICE MADE ME TURN
6841-88294-0017	HE WAS LYING ON HIS SIDE THOSE BLACK EYES OF HIS BLAZING AT ME BUT NOW BOTH OF THEM SAW THE SAME DISTANCE
6841-88294-0018	WHERE ARE MY CLOTHES HE ASKED VERY INTENSE
6841-88294-0019	ONE LITTLE SQUEEZE TALK ABOUT YOUR DEADLY WEAPONS
6841-88294-0020	BUT HE'D BEEN TOO SICK AND TOO LONG ABED
6841-88294-0021	IN A MINUTE OR SO HE CAME TO
6841-88294-0022	NOW YOU'RE A NICE SWEET PROPOSITION SAID I AS SOON AS I WAS SURE HE COULD UNDERSTAND ME
6841-88294-0023	THEY'RE SAFE ENOUGH LET ME HAVE THEM HE BEGGED
6841-88294-0024	NOW LOOK HERE SAID I YOU CAN'T GET UP TO DAY YOU AIN'T FIT
6841-88294-0025	I KNOW HE PLEADED BUT LET ME SEE THEM
6841-88294-0026	JUST TO SATISFY HIM I PASSED OVER HIS OLD DUDS
6841-88294-0027	I'VE BEEN ROBBED HE CRIED
6841-88294-0028	WHERE'S MY COAT HE ASKED
6841-88294-0029	YOU HAD NO COAT WHEN I PICKED YOU UP I REPLIED
6841-88294-0030	HE LOOKED AT ME MIGHTY SUSPICIOUS BUT DIDN'T SAY ANYTHING MORE HE WOULDN'T EVEN ANSWER WHEN I SPOKE TO HIM
6841-88294-0031	AFTER HE'D EATEN A FAIR MEAL HE FELL ASLEEP
6841-88294-0032	WHEN I CAME BACK THAT EVENING THE BUNK WAS EMPTY AND HE WAS GONE
6841-88294-0033	I DIDN'T SEE HIM AGAIN FOR TWO DAYS
6841-88294-0034	THEN I CAUGHT SIGHT OF HIM QUITE A WAYS OFF
6841-88294-0035	GUESS HE SUSPICIONS I STOLE THAT OLD COAT OF HIS THINKS I AND AFTERWARDS I FOUND THAT MY SURMISE HAD BEEN CORRECT
6841-88294-0036	HOWEVER HE DIDN'T STAY LONG IN THAT FRAME OF MIND
6841-88294-0037	I RAN UP PULLING MY GUN
6841-88294-0038	THE MEX WAS FLAT ON HIS FACE HIS ARMS STRETCHED OUT
6841-88294-0039	ON THE MIDDLE OF HIS BACK KNELT MY ONE ARMED FRIEND
6841-88294-0040	ANYWAY I THRUST THE MUZZLE OF MY COLT'S INTO THE SAILOR'S FACE WHAT'S THIS I ASKED
6841-88294-0041	I WEEN HEEM AT MONTE OFF ANTONIO CURVEZ SAID HE
6841-88294-0042	THE GLEAM DIED FROM HIS EYE THE SNARL LEFT HIS LIPS
6841-88294-0043	IN ANY CASE HE FLEW POCO PRONTO LEAVING ME AND MY FRIEND TOGETHER
6841-88294-0044	DURING THE NEXT TWO MONTHS HE WAS A GOOD DEAL ABOUT TOWN MOSTLY DOING ODD JOBS I SAW HIM OFF AND ON
6841-88294-0045	HOWEVER I DIDN'T PAY MUCH ATTENTION TO THAT BEING AT THE TIME ALMIGHTY BUSY HOLDING DOWN MY CARD GAMES
6841-88294-0046	THAT'S ALL RIGHT SAID I BUT YOU BETTER STAY RIGHT THERE
6841-88294-0047	I WANT TO MAKE UP TO YOU FOR YOUR TROUBLE SAID HE
6841-88294-0048	WHAT KIND OF A GOOD THING I ASKED TREASURE SAID HE
6841-88294-0049	HE LOOKED ALL RIGHT ENOUGH NEITHER DRUNK NOR LOCO
6841-88294-0050	SIT DOWN SAID I OVER THERE THE OTHER SIDE THE TABLE
6841-88294-0051	HE DID SO NOW FIRE AWAY SAID I
6841-88294-0052	AND IT'S A BIG THING SAID HANDY SOLOMON TO ME FOR THEY'S NOT ONLY GOLD BUT ALTAR JEWELS AND DIAMONDS
6841-88294-0053	IT WILL MAKE US RICH AND A DOZEN LIKE US AND YOU CAN KISS THE BOOK ON THAT
6841-88294-0054	THAT MAY ALL BE TRUE SAID I BUT WHY DO YOU TELL ME
