1993-147149-0000	HOW INFINITE THE WEALTH OF LOVE AND HOPE GARNERED IN THESE SAME TINY TREASURE HOUSES AND OH
6319-64726-0007	ONE SAID IT WAS AN ENCHANTED CASTLE ANOTHER THAT WITCHES LIVED THERE BUT MOST BELIEVED THAT IT WAS OCCUPIED BY A GREAT OGRE WHICH CARRIED THITHER ALL THE CHILDREN HE COULD CATCH AND ATE THEM UP ONE AT A TIME FOR NOBODY COULD GET AT HIM THROUGH THE WOOD
6319-64726-0008	THE YOUNG PRINCE AT THESE WORDS FELT HIMSELF ON FIRE
6319-64726-0009	SCARCELY HAD HE COME TO THE WOOD WHEN ALL THE TREES AND THORNS WHICH HAD MADE SUCH AN IMPENETRABLE THICKET OPENED ON ONE SIDE AND THE OTHER TO OFFER HIM A PATH
6319-64726-0010	HE ENTERED A LARGE FORECOURT AND STOOD STILL WITH AMAZEMENT AND AWE
6319-64726-0011	BUT THE FACES OF THE MEN WERE ROSY AND THE GOBLETS BY THEM HAD A FEW DROPS OF WINE LEFT
6319-64726-0012	HE ENTERED THE GUARD ROOM THERE THE GUARDS STOOD DRAWN UP IN LINE WITH CARBINES AT THEIR SHOULDERS BUT THEY WERE SOUND ASLEEP
6319-64726-0013	HE PASSED THROUGH ONE APARTMENT AFTER ANOTHER WHERE WERE LADIES AND GENTLEMEN ASLEEP IN THEIR CHAIRS OR STANDING
6319-64726-0014	I HAVE WAITED LONG FOR YOU
6319-64726-0015	THEY TALKED FOR FOUR HOURS AND HAD NOT THEN SAID HALF THAT WAS IN THEIR HEADS TO SAY
6319-64726-0016	MEANWHILE ALL THE REST OF THE PEOPLE IN THE CASTLE HAD BEEN WAKENED AT THE SAME MOMENT AS THE PRINCESS AND THEY WERE NOW EXTREMELY HUNGRY
6319-64726-0017	THE LADY IN WAITING BECAME VERY IMPATIENT AND AT LENGTH ANNOUNCED TO THE PRINCESS THAT THEY ALL WAITED FOR HER
6319-64726-0018	THEN THE PRINCE TOOK THE PRINCESS BY THE HAND SHE WAS DRESSED IN GREAT SPLENDOUR BUT HE DID NOT HINT THAT SHE LOOKED AS HE HAD SEEN PICTURES OF HIS GREAT GRANDMOTHER LOOK HE THOUGHT HER ALL THE MORE CHARMING FOR THAT
6319-64726-0019	THE VIOLINS AND HAUT BOYS PLAYED OLD BUT EXCELLENT PIECES OF MUSIC AND AFTER SUPPER TO LOSE NO TIME THE GRAND ALMONER MARRIED THE ROYAL LOVERS IN THE CHAPEL OF THE CASTLE
6319-64726-0020	HE TURNED TO SHOW THEM THE CASTLE BUT BEHOLD
8842-302196-0000	HE TRANSLATED AT AN EARLY AGE CHIEFLY BETWEEN EIGHTEEN FORTY FIVE AND EIGHTEEN FORTY NINE A GREAT NUMBER OF POEMS BY THE ITALIANS CONTEMPORARY WITH DANTE OR PRECEDING HIM AND AMONG OTHER THINGS HE MADE A VERSION OF THE WHOLE VITA NUOVA PROSE AND VERSE
8842-302196-0001	THIS BOOK IN ITS ORIGINAL FORM WAS RECEIVED WITH FAVOUR AND SETTLED THE CLAIM OF ROSSETTI TO RANK AS A POETIC TRANSLATOR OR INDEED AS A POET IN HIS OWN RIGHT
8842-302196-0002	THE LIFE BLOOD OF RHYTHMICAL TRANSLATION IS THIS COMMANDMENT THAT A GOOD POEM SHALL NOT BE TURNED INTO A BAD ONE
8842-302196-0003	THE ONLY TRUE MOTIVE FOR PUTTING POETRY INTO A FRESH LANGUAGE MUST BE TO ENDOW A FRESH NATION AS FAR AS POSSIBLE WITH ONE MORE POSSESSION OF BEAUTY
8842-302196-0004	POETRY NOT BEING AN EXACT SCIENCE LITERALITY OF RENDERING IS ALTOGETHER SECONDARY TO THIS CHIEF LAW
8842-302196-0005	OFTEN WOULD HE AVAIL HIMSELF OF ANY SPECIAL GRACE OF HIS OWN IDIOM AND EPOCH IF ONLY HIS WILL BELONGED TO HIM OFTEN WOULD SOME CADENCE SERVE HIM BUT FOR HIS AUTHOR'S STRUCTURE SOME STRUCTURE BUT FOR HIS AUTHOR'S CADENCE OFTEN THE BEAUTIFUL TURN OF A STANZA MUST BE WEAKENED TO ADOPT SOME RHYME WHICH WILL TALLY AND HE SEES THE POET REVELLING IN ABUNDANCE OF LANGUAGE WHERE HIMSELF IS SCANTILY SUPPLIED
8842-302196-0006	AND IF YOU HAVE TIME IT WOULD BE A GREAT SERVICE TO TRANSLATE THE ANALYSES OF THE POEMS WHICH I OMITTED
8842-302196-0007	ON JANUARY TWENTY FIFTH HE WROTE MANY AND MANY THANKS FOR A MOST ESSENTIAL SERVICE MOST THOROUGHLY PERFORMED
8842-302196-0008	MY NOTES WHICH YOU HAVE TAKEN THE TROUBLE OF REVISING ARE OF COURSE QUITE PALTRY AND USELESS
8842-302196-0009	IT IS THEREFORE AND ON ALL ACCOUNTS UNNECESSARY TO SAY MUCH MORE OF THE WORK HERE THAN IT SAYS FOR ITSELF
8842-302196-0010	THROUGHOUT THE VITA NUOVA THERE IS A STRAIN LIKE THE FIRST FALLING MURMUR WHICH REACHES THE EAR IN SOME REMOTE MEADOW AND PREPARES US TO LOOK UPON THE SEA
8842-302196-0011	A WORD SHOULD BE SAID HERE OF THE TITLE OF DANTE'S AUTOBIOGRAPHY
8842-302196-0012	THIS HAS INDUCED SOME EDITORS OF THE VITA NUOVA TO EXPLAIN THE TITLE AS MEANING EARLY LIFE
8842-302201-0000	THEREAFTER THIS SONNET BRED IN ME DESIRE TO WRITE DOWN IN VERSE FOUR OTHER THINGS TOUCHING MY CONDITION THE WHICH THINGS IT SEEMED TO ME THAT I HAD NOT YET MADE MANIFEST
8842-302201-0001	WHICH THING BEING THUS THERE CAME A DAY WHEN CERTAIN LADIES TO WHOM IT WAS WELL KNOWN THEY HAVING BEEN WITH ME AT DIVERS TIMES IN MY TROUBLE WERE MET TOGETHER FOR THE PLEASURE OF GENTLE COMPANY
8842-302201-0002	BUT WHEN I STILL SPAKE NOT ONE OF THEM WHO BEFORE HAD BEEN TALKING WITH ANOTHER ADDRESSED ME BY MY NAME SAYING TO WHAT END LOVEST THOU THIS LADY SEEING THAT THOU CANST NOT SUPPORT HER PRESENCE
8842-302201-0003	AND NOW THAT IT HATH PLEASED HER TO DENY ME THIS LOVE MY MASTER OF HIS GREAT GOODNESS HATH PLACED ALL MY BEATITUDE THERE WHERE MY HOPE WILL NOT FAIL ME
8842-302201-0004	THEN THOSE LADIES BEGAN TO TALK CLOSELY TOGETHER AND AS I HAVE SEEN SNOW FALL AMONG THE RAIN SO WAS THEIR TALK MINGLED WITH SIGHS
8842-302201-0005	AND I DECLARE THAT WHEN I SPEAK THEREOF LOVE SHEDS SUCH PERFECT SWEETNESS OVER ME THAT IF MY COURAGE FAILED NOT CERTAINLY TO HIM MY LISTENERS MUST BE ALL RESIGN'D
8842-302201-0006	WHATEVER HER SWEET EYES ARE TURNED UPON SPIRITS OF LOVE DO ISSUE THENCE IN FLAME WHICH THROUGH THEIR EYES WHO THEN MAY LOOK ON THEM PIERCE TO THE HEART'S DEEP CHAMBER EVERY ONE
8842-302201-0007	TO HER I WEND ALONG IN WHOSE MUCH STRENGTH MY WEAKNESS IS MADE STRONG
8842-302201-0008	SO TO THE ROAD THOU SHALT BE RECONCILED AND FIND THE LADY AND WITH THE LADY LOVE
8842-302201-0009	THE SECOND BEGINS HERE AN ANGEL THE THIRD HERE DEAR SONG I KNOW
8842-302201-0010	THE FIRST PART IS DIVIDED INTO FOUR
8842-302201-0011	IN THE THIRD I SAY WHAT IT IS I PURPOSE TO SPEAK SO AS NOT TO BE IMPEDED BY FAINTHEARTEDNESS
8842-302201-0012	IN THE FOURTH REPEATING TO WHOM I PURPOSE SPEAKING I TELL THE REASON WHY I SPEAK TO THEM
8842-302201-0013	IN THE SECOND I TELL WHAT IS UNDERSTOOD OF HER ON EARTH HERE MY LADY IS DESIRED
8842-302201-0014	THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE FIRST I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER SOUL RELATING SOME OF HER VIRTUES PROCEEDING FROM HER SOUL IN THE SECOND I SPEAK OF HER AS REGARDS THE NOBLENESS OF HER BODY NARRATING SOME OF HER BEAUTIES HERE LOVE SAITH CONCERNING HER
8842-302201-0015	THIS SECOND PART IS DIVIDED INTO TWO FOR IN THE ONE I SPEAK OF THE EYES WHICH ARE THE BEGINNING OF LOVE IN THE SECOND I SPEAK OF THE MOUTH WHICH IS THE END OF LOVE
8842-302203-0000	AND AT THE FIRST IT SEEMED TO ME THAT I SAW CERTAIN FACES OF WOMEN WITH THEIR HAIR LOOSENED WHICH CALLED OUT TO ME THOU SHALT SURELY DIE AFTER THE WHICH OTHER TERRIBLE AND UNKNOWN APPEARANCES SAID UNTO ME THOU ART DEAD
8842-302203-0001	AND SO STRONG WAS MY PHANTASY THAT I WEPT AGAIN IN VERY TRUTH AND SAID WITH MY TRUE VOICE O EXCELLENT SOUL HOW BLESSED IS HE THAT NOW LOOKETH UPON THEE
8842-302203-0002	WHEREBY OTHER LADIES WHO WERE ABOUT THE ROOM BECOMING AWARE OF MY DISCOMFORT BY REASON OF THE MOAN THAT SHE MADE WHO INDEED WAS OF MY VERY NEAR KINDRED LED HER AWAY FROM WHERE I WAS AND THEN SET THEMSELVES TO AWAKEN ME THINKING THAT I DREAMED AND SAYING SLEEP NO LONGER AND BE NOT DISQUIETED
8842-302203-0003	WHEN BEING AROUSED I OPENED MINE EYES AND KNEW THAT IT HAD BEEN A DECEPTION
8842-302203-0004	AND MY HUE WAS SUCH THAT THEY LOOK'D AT EACH OTHER AND THOUGHT OF DEATH SAYING UNDER THEIR BREATH MOST TENDERLY O LET US COMFORT HIM THEN UNTO ME WHAT DREAM WAS THINE THAT IT HATH SHAKEN THEE SO MUCH
8842-302203-0005	AND THEREWITHAL SUCH A BEWILDERMENT POSSESS'D ME THAT I SHUT MINE EYES FOR PEACE AND IN MY BRAIN DID CEASE ORDER OF THOUGHT AND EVERY HEALTHFUL THING
8842-302203-0006	THEN SAW I MANY BROKEN HINTED SIGHTS IN THE UNCERTAIN STATE I STEPP'D INTO
8842-302203-0007	THESE WILDERING PHANTASIES THEN CARRIED ME TO SEE MY LADY DEAD
8842-302203-0008	THE SECOND PART BEGINS HERE I WAS A THINKING THE FIRST PART DIVIDES INTO TWO
8842-302203-0009	THIS LADY'S RIGHT NAME WAS JOAN BUT BECAUSE OF HER COMELINESS OR AT LEAST IT WAS SO IMAGINED SHE WAS CALLED OF MANY PRIMAVERA SPRING AND WENT BY THAT NAME AMONG THEM
8842-302203-0010	AND IN HIS SPEECH HE LAUGH'D AND LAUGH'D AGAIN THEN WHILE IT WAS HIS PLEASURE TO REMAIN I CHANCED TO LOOK THE WAY HE HAD DRAWN NEAR AND SAW THE LADIES JOAN AND BEATRICE APPROACH ME THIS THE OTHER FOLLOWING ONE AND A SECOND MARVEL INSTANTLY
8842-302203-0011	THE SECOND PART BEGINS HERE SAYING BE NOW THE THIRD HERE THEN WHILE IT WAS HIS PLEASURE
8842-304647-0000	HE LIVES THY LOSS HE DIES FROM EVERY LIMB MANGLED BY THEE LIGHTNINGS OF GODHEAD SHINE FROM WHICH THY DARKNESS HATH NOT WHERE TO HIDE
8842-304647-0001	QUINCI IMPARA A STUPIRTI
8842-304647-0002	IN FLESH WAS RAIMENTED HOW HE WAS KILLED AND BURIED FROM THE DEAD HOW HE AROSE TO LIFE WITH VICTORY AND REIGNED IN HEAVEN HOW ALL OF US SHALL BE GLORIOUS LIKE HIM WHOSE HEARTS TO HIS ARE WED HOW THEY WHO DIE FOR LOVE OF REASON GIVE HYPOCRITES TYRANTS SOPHISTS ALL WHO SELL THEIR NEIGHBOURS ILL FOR HOLINESS TO HELL HOW THE DEAD SAINT CONDEMNS THE BAD WHO LIVE HOW ALL HE DOES BECOMES A LAW FOR MEN HOW HE AT LAST TO JUDGE SHALL COME AGAIN
8842-304647-0003	THIS WORLD'S THICK VAPOURS WHELM YOUR EYES UNWORTHY OF THAT GLORIOUS SHOW BLIND TO HIS SPLENDOUR BENT UPON HIS SHAME
8842-304647-0004	MONEY IS FALSE AND LIGHT UNLESS IT BE BOUGHT BY A MAN'S OWN WORTHY QUALITIES AND BLOOD IS SUCH THAT ITS CORRUPT DISEASE AND IGNORANT PRETENCE ARE FOUL TO SEE
8842-304647-0005	IL POPOLO E UNA BESTIA
8842-304647-0006	THE PEOPLE IS A BEAST OF MUDDY BRAIN THAT KNOWS NOT ITS OWN FORCE AND THEREFORE STANDS LOADED WITH WOOD AND STONE THE POWERLESS HANDS OF A MERE CHILD GUIDE IT WITH BIT AND REIN ONE KICK WOULD BE ENOUGH TO BREAK THE CHAIN BUT THE BEAST FEARS AND WHAT THE CHILD DEMANDS IT DOES NOR ITS OWN TERROR UNDERSTANDS CONFUSED AND STUPEFIED BY BUGBEARS VAIN
8842-304647-0007	MOST WONDERFUL
8842-304647-0008	THAT PENANCE HATH NO BLAME WHICH MAGDALEN FOUND SWEET PURGING OUR SHAME SELF PUNISHMENT IS VIRTUE ALL MEN KNOW
8842-304647-0009	ORGAN OF RUT NOT REASON IS THE LORD WHO FROM THE BODY POLITIC DOTH DRAIN LUST FOR HIMSELF INSTEAD OF TOIL AND PAIN LEAVING US LEAN AS CRICKETS ON DRY SWARD
8842-304647-0010	WELL TOO IF HE LIKE LOVE WOULD FILCH OUR HOARD WITH PLEASURE TO OURSELVES SLUICING OUR VEIN AND VIGOUR TO PERPETUATE THE STRAIN OF LIFE BY SPILTH OF LIFE WITHIN US STORED
8842-304647-0011	HEAVEN HELP THAT BODY WHICH A LITTLE MIND HOUSED IN A HEAD LACKING EARS TONGUE AND EYES AND SENSELESS BUT FOR SMELL CAN TYRANNISE
8842-304647-0012	DUE TO THEE THEIR PRAISE OF MAIDEN PURE OF TEEMING MOTHERHOOD
8842-304647-0013	THOU LIKE ARCTURUS STEADFAST IN THE SKIES WITH TARDY SENSE GUIDEST THY KINGDOM FAIR BEARING ALONE THE LOAD OF LIBERTY
1585-131718-0000	WHAT IS NECESSARY TO THE COMPLETENESS OF THE STORY AT THIS STAGE IS NOT TO RECAPITULATE BUT TO TAKE UP SOME OF THE LOOSE ENDS OF THREADS WOVEN IN AND FOLLOW THEM THROUGH UNTIL THE CLEAR AND COMPREHENSIVE PICTURE OF EVENTS CAN BE SEEN
1585-131718-0001	THE WAY OF THE INVENTOR IS HARD
1585-131718-0002	HE CAN SOMETIMES RAISE CAPITAL TO HELP HIM IN WORKING OUT HIS CRUDE CONCEPTIONS BUT EVEN THEN IT IS FREQUENTLY DONE AT A DISTRESSFUL COST OF PERSONAL SURRENDER
1585-131718-0003	WHEN THE RESULT IS ACHIEVED THE INVENTION MAKES ITS APPEAL ON THE SCORE OF ECONOMY OF MATERIAL OR OF EFFORT AND THEN LABOR OFTEN AWAITS WITH CRUSHING AND TYRANNICAL SPIRIT TO SMASH THE APPARATUS OR FORBID ITS VERY USE
1585-131718-0004	POSSIBLY OUR NATIONAL OPTIMISM AS REVEALED IN INVENTION THE SEEKING A HIGHER GOOD NEEDS SOME CHECK
1585-131718-0005	POSSIBLY THE LEADERS WOULD TRAVEL TOO FAST AND TOO FAR ON THE ROAD TO PERFECTION IF CONSERVATISM DID NOT ALSO PLAY ITS SALUTARY PART IN INSISTING THAT THE PROCESSION MOVE FORWARD AS A WHOLE
1585-131718-0006	ON THE CONTRARY THE CONDITIONS FOR ITS ACCEPTANCE HAD BEEN RIPENING FAST
1585-131718-0007	YET THE VERY VOGUE OF THE ELECTRIC ARC LIGHT MADE HARDER THE ARRIVAL OF THE INCANDESCENT
1585-131718-0008	A NUMBER OF PARENT ARC LIGHTING COMPANIES WERE IN EXISTENCE AND A GREAT MANY LOCAL COMPANIES HAD BEEN CALLED INTO BEING UNDER FRANCHISES FOR COMMERCIAL BUSINESS AND TO EXECUTE REGULAR CITY CONTRACTS FOR STREET LIGHTING
1585-131718-0009	THUS IN A CURIOUS MANNER THE MODERN ART OF ELECTRIC LIGHTING WAS IN A VERY TRUE SENSE DIVIDED AGAINST ITSELF WITH INTENSE RIVALRIES AND JEALOUSIES WHICH WERE NONE THE LESS REAL BECAUSE THEY WERE BUT TEMPORARY AND OCCURRED IN A FIELD WHERE ULTIMATE UNION OF FORCES WAS INEVITABLE
1585-131718-0010	HENCE TWENTY YEARS AFTER THE FIRST EDISON STATIONS WERE ESTABLISHED THE METHODS THEY INVOLVED COULD BE FAIRLY CREDITED WITH NO LESS THAN SIXTY SEVEN PER CENT
1585-131718-0011	IT WILL BE READILY UNDERSTOOD THAT UNDER THESE CONDITIONS THE MODERN LIGHTING COMPANY SUPPLIES TO ITS CUSTOMERS BOTH INCANDESCENT AND ARC LIGHTING FREQUENTLY FROM THE SAME DYNAMO ELECTRIC MACHINERY AS A SOURCE OF CURRENT AND THAT THE OLD FEUD AS BETWEEN THE RIVAL SYSTEMS HAS DIED OUT
1585-131718-0012	IN FACT FOR SOME YEARS PAST THE PRESIDENTS OF THE NATIONAL ELECTRIC LIGHT ASSOCIATION HAVE BEEN CHOSEN ALMOST EXCLUSIVELY FROM AMONG THE MANAGERS OF THE GREAT EDISON LIGHTING COMPANIES IN THE LEADING CITIES
1585-131718-0013	THE OTHER STRONG OPPOSITION TO THE INCANDESCENT LIGHT CAME FROM THE GAS INDUSTRY
1585-131718-0014	THERE ALSO THE MOST BITTER FEELING WAS SHOWN
1585-131718-0015	THE GAS MANAGER DID NOT LIKE THE ARC LIGHT BUT IT INTERFERED ONLY WITH HIS STREET SERVICE WHICH WAS NOT HIS LARGEST SOURCE OF INCOME BY ANY MEANS
1585-131718-0016	HERE AGAIN WAS GIVEN A MOST CONVINCING DEMONSTRATION OF THE TRUTH THAT SUCH AN ADDITION TO THE RESOURCES OF MANKIND ALWAYS CARRIES WITH IT UNSUSPECTED BENEFITS EVEN FOR ITS ENEMIES
1585-131718-0017	THIS WAS NOT LONG NOR UNIVERSALLY THE SPIRIT SHOWN AND TO DAY IN HUNDREDS OF CITIES THE ELECTRIC AND GAS PROPERTIES ARE UNITED UNDER THE ONE MANAGEMENT WHICH DOES NOT FIND IT IMPOSSIBLE TO PUSH IN A FRIENDLY AND PROGRESSIVE WAY THE USE OF BOTH ILLUMINANTS
1585-131718-0018	THE MOST CONSPICUOUS EXAMPLE OF THIS IDENTITY OF INTEREST IS GIVEN IN NEW YORK ITSELF
1585-131718-0019	SO MUCH FOR THE EARLY OPPOSITION OF WHICH THERE WAS PLENTY
1585-131718-0020	BUT IT MAY BE QUESTIONED WHETHER INERTIA IS NOT EQUALLY TO BE DREADED WITH ACTIVE ILL WILL
1585-131718-0021	OF COURSE A GREAT MANY ACCOUNTS WERE WRITTEN AND READ BUT WHILE GENUINE INTEREST WAS AROUSED IT WAS NECESSARILY APATHETIC
1585-131718-0022	WE GOT IT AT A GREAT BARGAIN AND ONLY PAID A SMALL SUM DOWN AND THE BALANCE ON MORTGAGE
1585-131718-0023	WE SOLD THEM FOR FORTY CENTS BUT THERE WERE ONLY ABOUT TWENTY OR THIRTY THOUSAND OF THEM
1585-131718-0024	THE FOURTH YEAR I GOT IT DOWN TO THIRTY SEVEN CENTS AND I MADE ALL THE MONEY UP IN ONE YEAR THAT I HAD LOST PREVIOUSLY
1585-131718-0025	ONE OF THE INCIDENTS WHICH CAUSED A VERY GREAT CHEAPENING WAS THAT WHEN WE STARTED ONE OF THE IMPORTANT PROCESSES HAD TO BE DONE BY EXPERTS
1585-131718-0026	AFTER FEELING AROUND FOR SOME DAYS I GOT A CLEW HOW TO DO IT
1585-131718-0027	I THEN MADE ANOTHER MACHINE WHICH DID THE WORK NICELY
1585-131718-0028	INCIDENTALLY IT MAY BE NOTED AS ILLUSTRATIVE OF THE PROBLEMS BROUGHT TO EDISON THAT WHILE HE HAD THE FACTORY AT HARRISON AN IMPORTER IN THE CHINESE TRADE WENT TO HIM AND WANTED A DYNAMO TO BE RUN BY HAND POWER
1585-131718-0029	FOR MAKING THE DYNAMOS EDISON SECURED AS NOTED IN THE PRECEDING CHAPTER THE ROACH IRON WORKS ON GOERCK STREET NEW YORK AND THIS WAS ALSO EQUIPPED
1585-131718-0030	TO SIGMUND BERGMANN WHO HAD WORKED PREVIOUSLY WITH EDISON ON TELEPHONE APPARATUS AND PHONOGRAPHS AND WAS ALREADY MAKING EDISON SPECIALTIES IN A SMALL WAY IN A LOFT ON WOOSTER STREET NEW YORK WAS ASSIGNED THE TASK OF CONSTRUCTING SOCKETS FIXTURES METERS SAFETY FUSES AND NUMEROUS OTHER DETAILS
1585-131718-0031	IN THE EARLY PART OF EIGHTEEN EIGHTY ONE THE EDISON ELECTRIC LIGHT COMPANY LEASED THE OLD BISHOP MANSION AT SIXTY FIVE FIFTH AVENUE CLOSE TO FOURTEENTH STREET FOR ITS HEADQUARTERS AND SHOW ROOMS
1585-131718-0032	THIS WAS ONE OF THE FINEST HOMES IN THE CITY OF THAT PERIOD AND ITS ACQUISITION WAS A PREMONITORY SIGN OF THE SURRENDER OF THE FAMOUS RESIDENTIAL AVENUE TO COMMERCE
1585-131718-0033	THE EXPERIENCE WITH THE LITTLE GAS ENGINE WAS RATHER STARTLING
1585-131718-0034	ONE DAY IT WAS NOT GOING VERY WELL AND I WENT DOWN TO THE MAN IN CHARGE AND GOT EXPLORING AROUND
1585-131718-0035	FOR THE NEXT FOUR OR FIVE YEARS SIXTY FIVE WAS A VERITABLE BEEHIVE DAY AND NIGHT
1585-131718-0036	THE ROUTINE WAS VERY MUCH THE SAME AS THAT AT THE LABORATORY IN ITS UTTER NEGLECT OF THE CLOCK
1585-131718-0037	I WAS TELLING A GENTLEMAN ONE DAY THAT I COULD NOT KEEP A CIGAR EVEN IF I LOCKED THEM UP IN MY DESK THEY WOULD BREAK IT OPEN
1585-131718-0038	HE SUGGESTED TO ME THAT HE HAD A FRIEND OVER ON EIGHTH AVENUE WHO MADE A SUPERIOR GRADE OF CIGARS AND WHO WOULD SHOW THEM A TRICK
1585-131718-0039	HE SAID HE WOULD HAVE SOME OF THEM MADE UP WITH HAIR AND OLD PAPER AND I COULD PUT THEM IN WITHOUT A WORD AND SEE THE RESULT
1585-131718-0040	I THOUGHT NO MORE ABOUT THE MATTER
1585-131718-0041	I DIDN'T REMEMBER ANYTHING ABOUT IT
1585-131718-0042	I WAS TOO BUSY ON OTHER THINGS TO NOTICE
1585-131718-0043	SPEAKING OF THOSE DAYS OR NIGHTS EDISON SAYS YEARS AGO ONE OF THE GREAT VIOLINISTS WAS REMENYI
1585-131718-0044	HE WOULD TALK WITH ME BUT I NEVER ASKED HIM TO BRING HIS VIOLIN
1585-131718-0045	ONE NIGHT HE CAME WITH HIS VIOLIN ABOUT TWELVE O'CLOCK
1585-131718-0046	AFTER THAT EVERY TIME HE CAME TO NEW YORK HE USED TO CALL AT SIXTY FIVE LATE AT NIGHT WITH HIS VIOLIN
1585-131718-0047	ANOTHER VISITOR WHO USED TO GIVE US A GOOD DEAL OF AMUSEMENT AND PLEASURE WAS CAPTAIN SHAW THE HEAD OF THE LONDON FIRE BRIGADE
1585-131718-0048	HE WOULD GO OUT AMONG THE FIRE LADDIES AND HAVE A GREAT TIME
1585-131718-0049	SPEAKING OF TELLING STORIES I ONCE GOT TELLING A MAN STORIES AT THE HARRISON LAMP FACTORY IN THE YARD AS HE WAS LEAVING
1585-131718-0050	IT WAS WINTER AND HE WAS ALL IN FURS
1585-131718-0051	I HAD NOTHING ON TO PROTECT ME AGAINST THE COLD
1585-131718-0052	THEN I GOT PLEURISY AND HAD TO BE SHIPPED TO FLORIDA FOR CURE
1585-131718-0053	IT HAD MERELY ENJOYED THE DELIGHTS OF ANXIOUS ANTICIPATION AND THE PERILOUS PLEASURE OF BACKING EDISON'S EXPERIMENTS
1585-131718-0054	NOW ACTIVE EXPLOITATION WAS REQUIRED
1585-157660-0000	LONDON ITS GUILT AND GLORY
1585-157660-0001	THEY SAY BEST MEN ARE MOLDED OUT OF FAULTS AND FOR THE MOST BECOME MUCH MORE THE BETTER FOR BEING A LITTLE BAD
1585-157660-0002	STANDING ON A BROKEN COLUMN OF THE OLD STEEPLE THREE HUNDRED FEET ABOVE PRIMROSE HILL WILLIAM STRUCK AN ATTITUDE OF THEATRICAL FASHION AND UTTERED THE FOLLOWING ORATORICAL FLIGHT
1585-157660-0003	GLORIOUS LONDON
1585-157660-0004	SAD HOW SAD TO THINK THAT THE DAY WILL COME WHEN NOT A VESTIGE OF THIS WONDERFUL MASS OF HUMAN ENERGY SHALL REMAIN WHERE THE CRY OF THE WOLF BAT AND BITTERN SHALL ONLY BE HEARD AND NATURE AGAIN RESUME HER RUSTIC SPLENDID DESOLATION
1585-157660-0005	THE DEVIL'S TAVERN WAS A RESORT FOR ACTORS AUTHORS BOHEMIANS LORDS AND LADIES WHO DID NOT RETIRE EARLY TO THEIR DOWNY COUCHES
1585-157660-0006	WILLIAM AND MYSELF SOON FOUND REST IN DEEP SLUMBER AND WAFTED AWAY INTO A DREAMLESS REALM OUR TIRED BODIES LAY IN THE ENFOLDING ARMS OF MORPHEUS UNTIL THE PORTER KNOCKED AT OUR DOOR THE NEXT MORNING AS THE CLOCK OF THE TOWER STRUCK THE HOUR OF NINE
1585-157660-0007	OUR FIRST SIGHT OF SUNRISE IN LONDON GAVE US GREAT EXPECTATIONS OF FAME AND FORTUNE FOR SURELY ALL WE HAD WAS GLOWING EXPECTATIONS
1585-157660-0008	OFT EXPECTATION FAILS AND MOST OFT THERE WHERE MOST IT PROMISES AND OFT IT HITS WHERE HOPE IS COLDEST AND DESPAIR MOST FITS
1585-157660-0009	DEUCES WON DOUBLE AND SIXES TREBLE COIN
1585-157660-0010	WILLIAM TO THE GREAT AMAZEMENT OF THE DEALER FLUNG A GUINEA IN THE CENTER POT WHICH WAS IMMEDIATELY TAPPED BY JACK WHILE THE OTHERS LOOKED ON IN SILENT EXPECTATION
1585-157660-0011	THE POLITE JACK REPLIED ALL RIGHT SIR TAKE YOUR WORD FOR IT
1585-157660-0012	I HAVE SET MY LIFE UPON A CAST AND WILL STAND THE HAZARD OF THE DIE
1585-157660-0013	I IMMEDIATELY FOLLOWED IN HIS FOOTSTEPS AND FOUND HIM JOKING WITH THE LANDLADY ABOUT A COUPLE OF INFANT BULL PUPS SHE WAS FONDLING IN HER CAPACIOUS LAP
1585-157660-0014	IF HE HAD DROPPED OUT OF THE CLOUDS WILLIAM COULD NOT HAVE BEEN MORE PLEASED OR SURPRISED AND THE FEELING WAS RECIPROCAL
1585-157660-0015	THE PRINTING SHOP OF FIELD WAS ONLY A SHORT DISTANCE FROM THE DEVIL'S TAVERN AND WE WERE INVITED TO VISIT THE ESTABLISHMENT
1585-157660-0016	JAMES BURBAGE GAZED FOR A MOMENT ON THE MANLY FORM OF WILLIAM AND BLURTED OUT IN HIS BLUFF MANNER WHAT DO YOU KNOW
2506-11267-0000	I SEE SHOALS OF THEM DEPART NOT PERHAPS WITHOUT AN INNATE LONGING TOO TO QUIT THE ISLAND ALONG WITH THOSE HAPPY SNOBS
2506-11267-0001	FAREWELL DEAR FRIENDS I SAY YOU LITTLE KNOW THAT THE INDIVIDUAL WHO REGARDS YOU FROM THE BEACH IS YOUR FRIEND AND HISTORIOGRAPHER AND BROTHER
2506-11267-0002	I WENT TO DAY TO SEE OUR EXCELLENT FRIEND SNOOKS ON BOARD THE QUEEN OF THE FRENCH MANY SCORES OF SNOBS WERE THERE ON THE DECK OF THAT FINE SHIP MARCHING FORTH IN THEIR PRIDE AND BRAVERY
2506-11267-0003	THEY WILL BE AT OSTEND IN FOUR HOURS THEY WILL INUNDATE THE CONTINENT NEXT WEEK THEY WILL CARRY INTO FAR LANDS THE FAMOUS IMAGE OF THE BRITISH SNOB
